# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
80,0.1.3771,2,Unknown,ms2,1215.06,99,652,287.9042,12863.8,93544.34,2,306.6912,306.691,306.69,120,611.3678
81,0.1.3775,2,Unknown,ms2,1216.22,99,1005,110.072,553394.31,2828058.8,3,317.4998,317.4998,317.5,75.7317,949.4776
82,0.1.3778,2,Unknown,ms2,1217,99,727,101.0718,66519.17,533226.38,2,343.7153,343.7153,343.72,120,685.416
83,0.1.3822,2,Unknown,ms2,1230.88,99,672,226.0438,655510.75,11227134,2,315.2041,315.2041,315.2,29.4572,628.3936
84,0.1.3837,2,Unknown,ms2,1235.68,99,652,287.904,11827.41,84175.19,2,306.6913,306.6912,306.69,120,611.368
85,0.1.3840,2,Unknown,ms2,1236.43,99,1005,110.072,870499,3983321.2,3,317.4997,317.4999,317.5,47.0701,949.4773
86,0.1.3843,2,Unknown,ms2,1237.21,99,727,101.0718,79103.64,656088.25,2,343.7152,343.7152,343.72,120,685.4158
87,0.1.3858,2,Unknown,ms2,1241.98,99,2041,204.0878,13526.05,73798.66,2,980.4247,980.4258,980.93,120,1958.835
88,0.1.3885,2,Unknown,ms2,1250.33,99,2369,204.0877,10179.34,64208.3,3,759.6539,759.6524,759.99,120,2275.94
89,0.1.3888,2,Unknown,ms2,1251.16,99,672,242.094,614032.75,8079219,2,315.2042,315.2043,315.2,58.869,628.3938
90,0.1.3904,2,Unknown,ms2,1256.04,99,652,287.9047,14347.61,104204.95,2,306.6907,306.691,306.69,120,611.3668
91,0.1.3906,2,Unknown,ms2,1256.5,99,1005,110.072,869128.56,3878683.8,3,317.4999,317.4999,317.5,59.3257,949.4779
92,0.1.3909,2,Unknown,ms2,1257.32,99,727,101.0718,119218.34,942767,2,343.7152,343.7153,343.72,120,685.4158
93,0.1.3926,2,Unknown,ms2,1262.82,99,1040,240.0965,257881.75,1418387.5,3,330.1594,328.1623,330.15,120,987.4564
94,0.1.3927,2,Unknown,ms2,1262.98,99,1025,110.0721,16265.63,48729.61,2,486.7368,486.7372,486.74,120,971.459
95,0.1.3931,2,Unknown,ms2,1264.05,99,2041,204.0872,32022.03,180476.84,2,980.4213,980.4214,980.42,120,1958.828
96,0.1.3952,2,Unknown,ms2,1270.75,99,2369,204.0873,73576.5,527109.75,3,759.6515,759.6525,759.99,120,2275.933
97,0.1.3954,2,Unknown,ms2,1271.22,99,672,226.0439,474492.16,6323441.5,2,315.2039,315.2039,315.2,51.7789,628.3932
98,0.1.3967,2,Unknown,ms2,1275.19,99,909,210.9508,51200.16,227708.05,2,432.2295,432.2297,432.23,120,862.4444
99,0.1.3973,2,Unknown,ms2,1276.98,99,1005,110.0719,918829.69,3815781.2,3,317.4996,317.4996,317.5,45.4706,949.477
100,0.1.3975,2,Unknown,ms2,1277.42,99,727,101.0717,165743.41,1449970.1,2,343.7149,343.7149,343.71,120,685.4152
101,0.1.3997,2,Unknown,ms2,1284.48,99,2041,204.0873,49793.36,296162.16,2,980.4216,980.4217,980.92,120,1958.829
102,0.1.4018,2,Unknown,ms2,1291.25,99,2369,204.0874,161675.92,1168218.1,3,759.6519,759.6516,759.65,120,2275.934
103,0.1.4020,2,Unknown,ms2,1291.67,99,672,242.0938,458311.5,4912822.5,2,315.204,315.2041,315.2,72.7189,628.3934
