# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
5218,controllerType=0 controllerNumber=1 scan=6312,1,Unknown,ms1,1856.79,845.0408,36817.3008
5218,controllerType=0 controllerNumber=1 scan=6312,1,Unknown,ms1,1856.79,845.0450,0.0000
5219,controllerType=0 controllerNumber=1 scan=6313,1,Unknown,ms1,1857.15,845.0408,0.0000
5220,controllerType=0 controllerNumber=1 scan=6319,1,Unknown,ms1,1858.16,845.0407,74170.6797
5221,controllerType=0 controllerNumber=1 scan=6325,1,Unknown,ms1,1859.17,845.0406,35106.8594
5222,controllerType=0 controllerNumber=1 scan=6328,1,Unknown,ms1,1859.71,845.0406,0.0000
5223,controllerType=0 controllerNumber=1 scan=6335,1,Unknown,ms1,1860.88,845.0405,42880.0781
5224,controllerType=0 controllerNumber=1 scan=6339,1,Unknown,ms1,1861.72,845.0427,18624.6992
5225,controllerType=0 controllerNumber=1 scan=6347,1,Unknown,ms1,1863.04,845.0390,61879.6094
5225,controllerType=0 controllerNumber=1 scan=6347,1,Unknown,ms1,1863.04,845.0449,9870.6143
5226,controllerType=0 controllerNumber=1 scan=6353,1,Unknown,ms1,1864.13,845.0415,50089.6641
5227,controllerType=0 controllerNumber=1 scan=6361,1,Unknown,ms1,1865.45,845.0407,82777.2188
5228,controllerType=0 controllerNumber=1 scan=6368,1,Unknown,ms1,1866.80,845.0388,191714.2969
5228,controllerType=0 controllerNumber=1 scan=6368,1,Unknown,ms1,1866.80,845.0446,46169.7930
5229,controllerType=0 controllerNumber=1 scan=6381,1,Unknown,ms1,1868.74,845.0380,197932.6719
5229,controllerType=0 controllerNumber=1 scan=6381,1,Unknown,ms1,1868.74,845.0438,53405.2500
5230,controllerType=0 controllerNumber=1 scan=6384,1,Unknown,ms1,1869.28,845.0378,321609.2500
5230,controllerType=0 controllerNumber=1 scan=6384,1,Unknown,ms1,1869.28,845.0436,110973.1250
5231,controllerType=0 controllerNumber=1 scan=6397,1,Unknown,ms1,1871.33,845.0390,323800.7813
5231,controllerType=0 controllerNumber=1 scan=6397,1,Unknown,ms1,1871.33,845.0449,81704.7891
5232,controllerType=0 controllerNumber=1 scan=6406,1,Unknown,ms1,1872.88,845.0399,379793.1563
5232,controllerType=0 controllerNumber=1 scan=6406,1,Unknown,ms1,1872.88,845.0457,90682.3438
5233,controllerType=0 controllerNumber=1 scan=6414,1,Unknown,ms1,1874.21,845.0401,537623.6875
5234,controllerType=0 controllerNumber=1 scan=6421,1,Unknown,ms1,1875.37,845.0405,598483.9375
5235,controllerType=0 controllerNumber=1 scan=6428,1,Unknown,ms1,1876.54,845.0404,571678.5625
5236,controllerType=0 controllerNumber=1 scan=6435,1,Unknown,ms1,1877.62,845.0408,803419.1250
5237,controllerType=0 controllerNumber=1 scan=6436,1,Unknown,ms1,1877.98,845.0408,836407.3125
5238,controllerType=0 controllerNumber=1 scan=6440,1,Unknown,ms1,1878.69,845.0405,894783.6250
5239,controllerType=0 controllerNumber=1 scan=6444,1,Unknown,ms1,1879.39,845.0409,986516.4375
5240,controllerType=0 controllerNumber=1 scan=6451,1,Unknown,ms1,1880.56,845.0408,1134804.7500
5241,controllerType=0 controllerNumber=1 scan=6458,1,Unknown,ms1,1881.92,845.0404,1219246.2500
5242,controllerType=0 controllerNumber=1 scan=6459,1,Unknown,ms1,1882.28,845.0411,933687.2500
5243,controllerType=0 controllerNumber=1 scan=6465,1,Unknown,ms1,1883.30,845.0411,992438.4375
5244,controllerType=0 controllerNumber=1 scan=6468,1,Unknown,ms1,1883.84,845.0409,964375.3125
5245,controllerType=0 controllerNumber=1 scan=6475,1,Unknown,ms1,1884.94,845.0411,914684.7500
5246,controllerType=0 controllerNumber=1 scan=6483,1,Unknown,ms1,1886.27,845.0412,687419.0000
5247,controllerType=0 controllerNumber=1 scan=6491,1,Unknown,ms1,1887.71,845.0408,619831.0625
5248,controllerType=0 controllerNumber=1 scan=6498,1,Unknown,ms1,1888.87,845.0407,452204.5313
5249,controllerType=0 controllerNumber=1 scan=6499,1,Unknown,ms1,1889.24,845.0404,472713.4375
5250,controllerType=0 controllerNumber=1 scan=6505,1,Unknown,ms1,1890.25,845.0412,307233.2813
5251,controllerType=0 controllerNumber=1 scan=6513,1,Unknown,ms1,1891.76,845.0412,190193.7813
5252,controllerType=0 controllerNumber=1 scan=6520,1,Unknown,ms1,1892.92,845.0400,173787.9063
5252,controllerType=0 controllerNumber=1 scan=6520,1,Unknown,ms1,1892.92,845.0458,49179.5977
5253,controllerType=0 controllerNumber=1 scan=6526,1,Unknown,ms1,1893.94,845.0399,129661.2969
5253,controllerType=0 controllerNumber=1 scan=6526,1,Unknown,ms1,1893.94,845.0458,23477.8848
5254,controllerType=0 controllerNumber=1 scan=6534,1,Unknown,ms1,1895.26,845.0403,85661.2500
5255,controllerType=0 controllerNumber=1 scan=6545,1,Unknown,ms1,1897.23,845.0401,49109.8828
5256,controllerType=0 controllerNumber=1 scan=6551,1,Unknown,ms1,1898.24,845.0436,0.0000
5257,controllerType=0 controllerNumber=1 scan=6554,1,Unknown,ms1,1898.79,845.0401,0.0000
5258,controllerType=0 controllerNumber=1 scan=6562,1,Unknown,ms1,1900.11,845.0400,0.0000
5259,controllerType=0 controllerNumber=1 scan=6570,1,Unknown,ms1,1901.37,845.0400,19123.7500
5259,controllerType=0 controllerNumber=1 scan=6570,1,Unknown,ms1,1901.37,845.0458,34243.5898
5261,controllerType=0 controllerNumber=1 scan=6579,1,Unknown,ms1,1903.06,845.0403,0.0000
5262,controllerType=0 controllerNumber=1 scan=6581,1,Unknown,ms1,1903.49,845.0403,26754.7734
5268,controllerType=0 controllerNumber=1 scan=6607,1,Unknown,ms1,1908.32,845.0404,0.0000
5271,controllerType=0 controllerNumber=1 scan=6623,1,Unknown,ms1,1911.11,845.0406,0.0000
5273,controllerType=0 controllerNumber=1 scan=6636,1,Unknown,ms1,1913.29,845.0408,0.0000
5274,controllerType=0 controllerNumber=1 scan=6642,1,Unknown,ms1,1914.30,845.0408,0.0000
5277,controllerType=0 controllerNumber=1 scan=6656,1,Unknown,ms1,1916.84,845.0409,0.0000
5278,controllerType=0 controllerNumber=1 scan=6659,1,Unknown,ms1,1917.33,845.0409,23037.5586
5281,controllerType=0 controllerNumber=1 scan=6678,1,Unknown,ms1,1920.49,845.0409,0.0000
5283,controllerType=0 controllerNumber=1 scan=6688,1,Unknown,ms1,1922.20,845.0407,0.0000
5288,controllerType=0 controllerNumber=1 scan=6712,1,Unknown,ms1,1926.53,845.0409,0.0000
5293,controllerType=0 controllerNumber=1 scan=6747,1,Unknown,ms1,1932.43,845.0408,25822.6719
5294,controllerType=0 controllerNumber=1 scan=6753,1,Unknown,ms1,1933.45,845.0408,46546.1797
5295,controllerType=0 controllerNumber=1 scan=6761,1,Unknown,ms1,1934.77,845.0408,28153.8184
5298,controllerType=0 controllerNumber=1 scan=6778,1,Unknown,ms1,1937.84,845.0408,72664.8828
5304,controllerType=0 controllerNumber=1 scan=6826,1,Unknown,ms1,1945.88,845.0409,61066.1016
5309,controllerType=0 controllerNumber=1 scan=6844,1,Unknown,ms1,1949.31,845.0410,51581.6289
5310,controllerType=0 controllerNumber=1 scan=6850,1,Unknown,ms1,1950.32,845.0408,32779.1602
5311,controllerType=0 controllerNumber=1 scan=6851,1,Unknown,ms1,1950.69,845.0408,24343.3145
5312,controllerType=0 controllerNumber=1 scan=6854,1,Unknown,ms1,1951.24,845.0408,36468.0586
5313,controllerType=0 controllerNumber=1 scan=6861,1,Unknown,ms1,1952.41,845.0410,36174.1406
5314,controllerType=0 controllerNumber=1 scan=6862,1,Unknown,ms1,1952.77,845.0409,31347.5762
5315,controllerType=0 controllerNumber=1 scan=6869,1,Unknown,ms1,1953.94,845.0408,185421.5313
5321,controllerType=0 controllerNumber=1 scan=6893,1,Unknown,ms1,1958.67,845.0409,24490.4355
5328,controllerType=0 controllerNumber=1 scan=6920,1,Unknown,ms1,1963.94,845.0412,0.0000
5331,controllerType=0 controllerNumber=1 scan=6936,1,Unknown,ms1,1966.77,845.0425,0.0000
5333,controllerType=0 controllerNumber=1 scan=6947,1,Unknown,ms1,1968.54,845.0411,44760.6211
5335,controllerType=0 controllerNumber=1 scan=6954,1,Unknown,ms1,1969.92,845.0411,26682.6719
5337,controllerType=0 controllerNumber=1 scan=6963,1,Unknown,ms1,1971.74,845.0421,0.0000
5338,controllerType=0 controllerNumber=1 scan=6964,1,Unknown,ms1,1972.11,845.0411,19968.2461
5339,controllerType=0 controllerNumber=1 scan=6970,1,Unknown,ms1,1973.08,845.0410,18109.6289
5341,controllerType=0 controllerNumber=1 scan=6978,1,Unknown,ms1,1974.63,845.0410,33697.8242
5346,controllerType=0 controllerNumber=1 scan=6996,1,Unknown,ms1,1978.23,845.0410,0.0000
5347,controllerType=0 controllerNumber=1 scan=7001,1,Unknown,ms1,1979.09,845.0409,0.0000
5349,controllerType=0 controllerNumber=1 scan=7009,1,Unknown,ms1,1980.62,845.0409,21139.3496
5351,controllerType=0 controllerNumber=1 scan=7019,1,Unknown,ms1,1982.51,845.0409,0.0000
